dispatch_id,if_loaded,n_types,dim_s,dim_m,dim_l,n_items
10,1,8,10,12,27,1
10,1,8,11,15,27,1
10,1,8,12,14,15,1
11,1,7,5,16,26,1
11,1,7,6,17,20,1
11,1,7,7,13,28,1
11,1,7,7,16,21,1
11,1,7,7,17,34,1
11,1,7,8,9,32,2
11,1,7,11,18,26,1
12,1,10,6,17,26,1
12,1,10,7,11,29,1
12,1,10,8,9,32,1
12,1,10,8,10,17,1
12,1,10,8,15,32,1
12,1,10,8,16,26,1
12,1,10,10,11,13,1
12,1,10,11,15,27,1
12,1,10,11,18,26,1
12,1,10,13,16,32,1
13,1,14,5,16,26,1
13,1,14,6,6,19,1
13,1,14,6,12,26,1
13,1,14,6,17,20,1
13,1,14,7,8,29,1
13,1,14,7,13,28,1
13,1,14,7,16,21,1
13,1,14,7,17,34,1
13,1,14,8,9,32,1
13,1,14,9,10,15,1
13,1,14,10,12,30,1
13,1,14,11,17,19,1
13,1,14,12,12,15,1
13,1,14,12,14,26,1
14,1,11,5,16,26,1
14,1,11,6,6,19,1
14,1,11,6,12,26,1
14,1,11,6,17,20,1
14,1,11,7,13,28,1
14,1,11,7,16,21,1
14,1,11,7,17,34,1
14,1,11,8,9,32,1
14,1,11,9,10,15,1
14,1,11,11,17,19,1
14,1,11,12,12,15,1
15,1,9,6,7,25,1
15,1,9,6,17,26,1
15,1,9,7,11,29,1
15,1,9,7,15,33,1
15,1,9,8,16,26,1
15,1,9,9,12,32,1
15,1,9,10,12,27,1
15,1,9,12,14,15,1
15,1,9,13,16,32,1
16,1,9,6,6,19,1
16,1,9,6,12,26,1
16,1,9,6,17,20,1
16,1,9,7,17,34,1
16,1,9,8,9,32,1
16,1,9,9,10,15,1
16,1,9,11,17,19,1
16,1,9,12,12,15,1
16,1,9,12,14,26,1
18,1,11,5,16,26,1
18,1,11,6,12,26,1
18,1,11,6,17,20,1
18,1,11,7,13,28,1
18,1,11,7,16,21,1
18,1,11,7,17,34,1
18,1,11,8,9,32,2
18,1,11,9,10,15,1
18,1,11,11,18,26,1
18,1,11,12,12,15,1
18,1,11,12,14,26,1
19,0,10,6,17,26,1
19,0,10,7,8,29,1
19,0,10,7,11,29,1
19,0,10,8,14,26,1
19,0,10,8,15,32,1
19,0,10,8,16,26,1
19,0,10,9,14,14,1
19,0,10,10,12,30,1
19,0,10,13,16,32,1
19,0,10,13,17,17,1
20,1,13,5,16,26,1
20,1,13,6,12,26,1
20,1,13,6,17,20,1
20,1,13,7,8,29,1
20,1,13,7,13,28,1
20,1,13,7,16,21,1
20,1,13,8,9,32,2
20,1,13,8,15,32,1
20,1,13,9,10,15,1
20,1,13,10,12,30,1
20,1,13,11,18,26,1
20,1,13,12,12,15,1
20,1,13,12,14,26,1
21,1,6,7,8,29,1
21,1,6,8,9,32,1
21,1,6,8,15,32,1
21,1,6,10,12,30,1
21,1,6,11,18,26,1
21,1,6,12,14,26,1
22,1,7,6,17,26,1
22,1,7,7,8,29,1
22,1,7,7,11,29,1
22,1,7,8,15,32,1
22,1,7,8,16,26,1
22,1,7,10,12,30,1
22,1,7,13,16,32,1
23,1,8,6,7,25,1
23,1,8,8,10,17,1
23,1,8,8,14,26,1
23,1,8,9,14,14,1
23,1,8,10,11,13,1
23,1,8,11,15,27,1
23,1,8,12,14,15,1
23,1,8,13,17,17,1
24,1,9,6,6,19,1
24,1,9,6,12,26,1
24,1,9,6,17,20,1
24,1,9,7,17,34,1
24,1,9,8,9,32,1
24,1,9,9,10,15,1
24,1,9,11,17,19,1
24,1,9,12,12,15,1
24,1,9,13,16,32,1
25,1,9,5,16,26,1
25,1,9,6,6,19,1
25,1,9,7,8,29,1
25,1,9,7,13,28,1
25,1,9,7,16,21,1
25,1,9,7,17,34,1
25,1,9,8,15,32,1
25,1,9,10,12,30,1
25,1,9,11,17,19,1
26,0,12,6,6,19,1
26,0,12,6,12,26,1
26,0,12,6,17,20,1
26,0,12,6,17,26,1
26,0,12,7,11,29,1
26,0,12,8,9,32,2
26,0,12,8,16,26,1
26,0,12,9,10,15,1
26,0,12,11,17,19,1
26,0,12,11,18,26,1
26,0,12,12,12,15,1
26,0,12,13,16,32,1
27,1,4,5,16,26,1
27,1,4,7,13,28,1
27,1,4,7,16,21,1
27,1,4,12,14,26,1
29,1,1,12,14,26,1
30,1,9,6,7,25,1
30,1,9,7,15,33,1
30,1,9,7,17,34,1
30,1,9,8,14,26,1
30,1,9,9,12,32,1
30,1,9,9,14,14,1
30,1,9,10,12,27,1
30,1,9,12,14,15,1
30,1,9,13,17,17,1
31,1,9,6,7,25,1
31,1,9,8,10,17,1
31,1,9,8,14,26,1
31,1,9,9,14,14,1
31,1,9,10,11,13,1
31,1,9,11,15,27,1
31,1,9,12,14,15,1
31,1,9,12,14,26,1
31,1,9,13,17,17,1
32,1,12,6,17,26,1
32,1,12,7,11,29,1
32,1,12,7,15,33,1
32,1,12,8,10,17,1
32,1,12,8,14,26,1
32,1,12,8,16,26,1
32,1,12,9,12,32,1
32,1,12,9,14,14,1
32,1,12,10,11,13,1
32,1,12,10,12,27,1
32,1,12,11,15,27,1
32,1,12,13,17,17,1
33,1,13,6,6,19,1
33,1,13,6,12,26,1
33,1,13,6,17,20,1
33,1,13,6,17,26,1
33,1,13,7,8,29,1
33,1,13,7,11,29,1
33,1,13,8,9,32,1
33,1,13,8,16,26,1
33,1,13,9,10,15,1
33,1,13,10,12,30,1
33,1,13,11,17,19,1
33,1,13,12,12,15,1
33,1,13,13,16,32,1
34,1,11,5,16,26,1
34,1,11,6,7,25,1
34,1,11,7,8,29,1
34,1,11,7,13,28,1
34,1,11,7,16,21,1
34,1,11,7,17,34,1
34,1,11,8,9,32,1
34,1,11,8,15,32,1
34,1,11,10,12,30,1
34,1,11,11,18,26,1
34,1,11,12,14,15,1
35,1,2,12,14,26,1
35,1,2,13,16,32,1
36,1,9,5,16,26,1
36,1,9,7,8,29,1
36,1,9,7,13,28,1
36,1,9,7,16,21,1
36,1,9,7,17,34,1
36,1,9,8,9,32,1
36,1,9,8,15,32,1
36,1,9,10,12,30,1
36,1,9,11,18,26,1
37,1,13,6,6,19,1
37,1,13,6,7,25,1
37,1,13,7,15,33,1
37,1,13,8,10,17,1
37,1,13,8,14,26,1
37,1,13,9,12,32,1
37,1,13,9,14,14,1
37,1,13,10,11,13,1
37,1,13,10,12,27,1
37,1,13,11,15,27,1
37,1,13,11,17,19,1
37,1,13,12,14,15,1
37,1,13,13,17,17,1
38,1,10,6,6,19,1
38,1,10,6,7,25,1
38,1,10,6,17,20,1
38,1,10,6,17,26,1
38,1,10,7,11,29,1
38,1,10,8,9,32,1
38,1,10,8,16,26,1
38,1,10,11,17,19,1
38,1,10,12,14,15,1
38,1,10,13,16,32,1
39,1,9,6,7,25,1
39,1,9,8,10,17,1
39,1,9,8,14,26,1
39,1,9,8,15,32,1
39,1,9,9,14,14,1
39,1,9,10,11,13,1
39,1,9,11,15,27,1
39,1,9,12,14,15,1
39,1,9,13,17,17,1
41,1,11,6,6,19,1
41,1,11,6,12,26,1
41,1,11,6,17,20,1
41,1,11,8,9,32,1
41,1,11,8,14,26,1
41,1,11,9,10,15,1
41,1,11,9,14,14,1
41,1,11,11,17,19,1
41,1,11,12,12,15,1
41,1,11,13,16,32,1
41,1,11,13,17,17,1
43,1,12,6,7,25,1
43,1,12,7,15,33,1
43,1,12,8,10,17,1
43,1,12,8,14,26,1
43,1,12,9,12,32,1
43,1,12,9,14,14,1
43,1,12,10,11,13,1
43,1,12,10,12,27,1
43,1,12,11,15,27,1
43,1,12,12,14,15,1
43,1,12,13,16,32,1
43,1,12,13,17,17,1
44,1,11,5,16,26,1
44,1,11,7,13,28,1
44,1,11,7,16,21,1
44,1,11,7,17,34,1
44,1,11,8,9,32,1
44,1,11,8,10,17,1
44,1,11,8,15,32,1
44,1,11,10,11,13,1
44,1,11,11,15,27,1
44,1,11,11,18,26,1
44,1,11,12,14,26,1
45,1,9,6,6,19,1
45,1,9,6,17,20,1
45,1,9,6,17,26,1
45,1,9,7,11,29,1
45,1,9,8,9,32,1
45,1,9,8,16,26,1
45,1,9,11,17,19,1
45,1,9,12,14,26,1
45,1,9,13,16,32,1
46,1,12,5,16,26,1
46,1,12,7,8,29,1
46,1,12,7,13,28,1
46,1,12,7,15,33,1
46,1,12,7,16,21,1
46,1,12,8,9,32,1
46,1,12,8,15,32,1
46,1,12,9,12,32,1
46,1,12,10,12,27,1
46,1,12,10,12,30,1
46,1,12,11,18,26,1
46,1,12,12,14,26,1
47,1,11,6,7,25,1
47,1,11,6,17,26,1
47,1,11,7,11,29,1
47,1,11,8,10,17,1
47,1,11,8,14,26,1
47,1,11,8,16,26,1
47,1,11,9,14,14,1
47,1,11,10,11,13,1
47,1,11,11,15,27,1
47,1,11,12,14,15,1
47,1,11,13,17,17,1
48,1,12,6,6,19,1
48,1,12,6,12,26,1
48,1,12,6,17,26,1
48,1,12,7,11,29,1
48,1,12,8,14,26,1
48,1,12,8,16,26,1
48,1,12,9,10,15,1
48,1,12,9,14,14,1
48,1,12,11,17,19,1
48,1,12,12,12,15,1
48,1,12,13,16,32,1
48,1,12,13,17,17,1
49,1,10,5,16,26,1
49,1,10,6,17,20,1
49,1,10,7,8,29,1
49,1,10,7,13,28,1
49,1,10,7,16,21,1
49,1,10,7,17,34,1
49,1,10,8,9,32,2
49,1,10,8,15,32,1
49,1,10,10,12,30,1
49,1,10,11,18,26,1
50,1,11,6,12,26,1
50,1,11,6,17,20,1
50,1,11,6,17,26,1
50,1,11,7,8,29,1
50,1,11,7,11,29,1
50,1,11,8,9,32,1
50,1,11,8,16,26,1
50,1,11,9,10,15,1
50,1,11,10,12,30,1
50,1,11,12,12,15,1
50,1,11,13,16,32,1
51,1,11,6,7,25,1
51,1,11,6,12,26,1
51,1,11,6,17,20,1
51,1,11,6,17,26,1
51,1,11,7,11,29,1
51,1,11,8,9,32,1
51,1,11,8,16,26,1
51,1,11,9,10,15,1
51,1,11,12,12,15,1
51,1,11,12,14,15,1
51,1,11,13,16,32,1
52,0,13,5,16,26,1
52,0,13,6,7,25,1
52,0,13,7,13,28,1
52,0,13,7,15,33,1
52,0,13,7,16,21,1
52,0,13,7,17,34,1
52,0,13,8,9,32,1
52,0,13,8,15,32,1
52,0,13,9,12,32,1
52,0,13,10,12,27,1
52,0,13,11,18,26,1
52,0,13,12,14,15,1
52,0,13,12,14,26,1
53,1,6,6,7,25,1
53,1,6,7,17,34,1
53,1,6,8,9,32,1
53,1,6,11,18,26,1
53,1,6,12,14,15,1
53,1,6,12,14,26,1
54,0,12,6,6,19,1
54,0,12,6,12,26,1
54,0,12,6,17,20,1
54,0,12,6,17,26,1
54,0,12,7,11,29,1
54,0,12,7,17,34,1
54,0,12,8,9,32,1
54,0,12,8,16,26,1
54,0,12,9,10,15,1
54,0,12,11,17,19,1
54,0,12,12,12,15,1
54,0,12,13,16,32,1
57,1,8,6,7,25,1
57,1,8,7,15,33,1
57,1,8,8,14,26,1
57,1,8,9,12,32,1
57,1,8,9,14,14,1
57,1,8,10,12,27,1
57,1,8,12,14,15,1
57,1,8,13,17,17,1
58,1,10,6,6,19,1
58,1,10,6,12,26,1
58,1,10,6,17,20,1
58,1,10,6,17,26,1
58,1,10,7,11,29,1
58,1,10,8,9,32,1
58,1,10,8,16,26,1
58,1,10,9,10,15,1
58,1,10,11,17,19,1
58,1,10,12,12,15,1
60,1,8,6,6,19,1
60,1,8,6,17,20,1
60,1,8,6,17,26,1
60,1,8,7,11,29,1
60,1,8,8,9,32,1
60,1,8,8,16,26,1
60,1,8,11,17,19,1
60,1,8,13,16,32,1
62,1,11,5,16,26,1
62,1,11,6,7,25,1
62,1,11,7,8,29,1
62,1,11,7,13,28,1
62,1,11,7,16,21,1
62,1,11,8,9,32,1
62,1,11,8,15,32,1
62,1,11,10,12,30,1
62,1,11,11,18,26,1
62,1,11,12,14,15,1
62,1,11,12,14,26,1
63,1,12,5,16,26,1
63,1,12,7,8,29,1
63,1,12,7,13,28,1
63,1,12,7,16,21,1
63,1,12,8,9,32,1
63,1,12,8,14,26,1
63,1,12,8,15,32,1
63,1,12,9,14,14,1
63,1,12,10,12,30,1
63,1,12,11,18,26,1
63,1,12,12,14,26,1
63,1,12,13,17,17,1
64,1,10,6,7,25,1
64,1,10,7,15,33,1
64,1,10,8,9,32,1
64,1,10,8,14,26,1
64,1,10,9,12,32,1
64,1,10,9,14,14,1
64,1,10,10,12,27,1
64,1,10,11,18,26,1
64,1,10,12,14,15,1
64,1,10,13,17,17,1
65,1,10,7,15,33,1
65,1,10,8,10,17,1
65,1,10,8,14,26,1
65,1,10,8,15,32,1
65,1,10,9,12,32,1
65,1,10,9,14,14,1
65,1,10,10,11,13,1
65,1,10,10,12,27,1
65,1,10,11,15,27,1
65,1,10,13,17,17,1
66,1,11,6,6,19,1
66,1,11,6,12,26,1
66,1,11,6,17,20,1
66,1,11,6,17,26,1
66,1,11,7,11,29,1
66,1,11,8,9,32,1
66,1,11,8,16,26,1
66,1,11,9,10,15,1
66,1,11,11,17,19,1
66,1,11,12,12,15,1
66,1,11,12,14,26,1
67,1,11,6,17,20,1
67,1,11,7,15,33,1
67,1,11,8,9,32,1
67,1,11,8,10,17,1
67,1,11,8,14,26,1
67,1,11,9,12,32,1
67,1,11,9,14,14,1
67,1,11,10,11,13,1
67,1,11,10,12,27,1
67,1,11,11,15,27,1
67,1,11,13,17,17,1
68,1,11,6,7,25,1
68,1,11,6,12,26,1
68,1,11,8,10,17,1
68,1,11,8,14,26,1
68,1,11,9,10,15,1
68,1,11,9,14,14,1
68,1,11,10,11,13,1
68,1,11,11,15,27,1
68,1,11,12,12,15,1
68,1,11,12,14,15,1
68,1,11,13,17,17,1
70,1,9,6,7,25,1
70,1,9,7,15,33,1
70,1,9,8,10,17,1
70,1,9,8,15,32,1
70,1,9,9,12,32,1
70,1,9,10,11,13,1
70,1,9,10,12,27,1
70,1,9,11,15,27,1
70,1,9,12,14,15,1
71,0,11,6,6,19,1
71,0,11,6,17,20,1
71,0,11,6,17,26,1
71,0,11,7,11,29,1
71,0,11,8,9,32,1
71,0,11,8,10,17,1
71,0,11,8,16,26,1
71,0,11,10,11,13,1
71,0,11,11,15,27,1
71,0,11,11,17,19,1
71,0,11,13,16,32,1
72,1,12,6,6,19,1
72,1,12,6,12,26,1
72,1,12,6,17,26,1
72,1,12,7,11,29,1
72,1,12,8,10,17,1
72,1,12,8,16,26,1
72,1,12,9,10,15,1
72,1,12,10,11,13,1
72,1,12,11,15,27,1
72,1,12,11,17,19,1
72,1,12,12,12,15,1
72,1,12,13,16,32,1
73,1,10,6,6,19,1
73,1,10,6,12,26,1
73,1,10,6,17,26,1
73,1,10,7,11,29,1
73,1,10,7,17,34,1
73,1,10,8,16,26,1
73,1,10,9,10,15,1
73,1,10,11,17,19,1
73,1,10,12,12,15,1
73,1,10,13,16,32,1
74,1,12,6,12,26,1
74,1,12,6,17,20,1
74,1,12,6,17,26,1
74,1,12,7,11,29,1
74,1,12,8,9,32,1
74,1,12,8,10,17,1
74,1,12,8,16,26,1
74,1,12,9,10,15,1
74,1,12,10,11,13,1
74,1,12,11,15,27,1
74,1,12,12,12,15,1
74,1,12,13,16,32,1
75,0,15,5,16,26,1
75,0,15,7,8,29,1
75,0,15,7,13,28,1
75,0,15,7,16,21,1
75,0,15,7,17,34,1
75,0,15,8,9,32,1
75,0,15,8,10,17,1
75,0,15,8,14,26,1
75,0,15,8,15,32,1
75,0,15,9,14,14,1
75,0,15,10,11,13,1
75,0,15,10,12,30,1
75,0,15,11,15,27,1
75,0,15,11,18,26,1
75,0,15,13,17,17,1
78,0,14,6,6,19,1
78,0,14,6,12,26,1
78,0,14,6,17,20,1
78,0,14,6,17,26,1
78,0,14,7,11,29,1
78,0,14,8,9,32,1
78,0,14,8,10,17,1
78,0,14,8,16,26,1
78,0,14,9,10,15,1
78,0,14,10,11,13,1
78,0,14,11,15,27,1
78,0,14,11,17,19,1
78,0,14,12,12,15,1
78,0,14,13,16,32,1
79,1,11,5,16,26,1
79,1,11,6,17,20,1
79,1,11,7,8,29,1
79,1,11,7,13,28,1
79,1,11,7,16,21,1
79,1,11,7,17,34,1
79,1,11,8,9,32,2
79,1,11,8,15,32,1
79,1,11,10,12,30,1
79,1,11,11,18,26,1
79,1,11,12,14,26,1
80,1,9,6,12,26,1
80,1,9,6,17,20,1
80,1,9,6,17,26,1
80,1,9,7,11,29,1
80,1,9,8,9,32,1
80,1,9,8,16,26,1
80,1,9,9,10,15,1
80,1,9,12,12,15,1
80,1,9,13,16,32,1
81,1,10,6,7,25,1
81,1,10,6,17,20,1
81,1,10,7,15,33,1
81,1,10,8,9,32,1
81,1,10,8,14,26,1
81,1,10,9,12,32,1
81,1,10,9,14,14,1
81,1,10,10,12,27,1
81,1,10,12,14,15,1
81,1,10,13,17,17,1
82,1,9,5,16,26,1
82,1,9,6,17,20,1
82,1,9,7,8,29,1
82,1,9,7,13,28,1
82,1,9,7,16,21,1
82,1,9,7,17,34,1
82,1,9,8,9,32,1
82,1,9,10,12,30,1
82,1,9,12,14,26,1
83,0,13,5,16,26,1
83,0,13,6,17,26,1
83,0,13,7,8,29,1
83,0,13,7,11,29,1
83,0,13,7,13,28,1
83,0,13,7,16,21,1
83,0,13,7,17,34,1
83,0,13,8,9,32,1
83,0,13,8,15,32,1
83,0,13,8,16,26,1
83,0,13,10,12,30,1
83,0,13,11,18,26,1
83,0,13,12,14,26,1
84,0,18,5,16,26,1
84,0,18,6,6,19,1
84,0,18,6,12,26,1
84,0,18,6,17,20,1
84,0,18,6,17,26,1
84,0,18,7,8,29,1
84,0,18,7,11,29,1
84,0,18,7,13,28,1
84,0,18,7,16,21,1
84,0,18,7,17,34,1
84,0,18,8,9,32,2
84,0,18,8,15,32,1
84,0,18,8,16,26,1
84,0,18,9,10,15,1
84,0,18,10,12,30,1
84,0,18,11,17,19,1
84,0,18,11,18,26,1
84,0,18,12,12,15,1
86,0,9,6,6,19,1
86,0,9,6,17,20,1
86,0,9,6,17,26,1
86,0,9,7,11,29,1
86,0,9,8,9,32,1
86,0,9,8,15,32,1
86,0,9,8,16,26,1
86,0,9,11,17,19,1
86,0,9,13,16,32,1
87,1,10,6,12,26,1
87,1,10,7,8,29,1
87,1,10,7,17,34,1
87,1,10,8,9,32,1
87,1,10,8,15,32,1
87,1,10,9,10,15,1
87,1,10,10,12,30,1
87,1,10,11,18,26,1
87,1,10,12,12,15,1
87,1,10,12,14,26,1
89,0,9,6,6,19,1
89,0,9,6,17,20,1
89,0,9,6,17,26,1
89,0,9,7,11,29,1
89,0,9,7,17,34,1
89,0,9,8,9,32,1
89,0,9,8,16,26,1
89,0,9,11,17,19,1
89,0,9,13,16,32,1
90,1,12,5,16,26,1
90,1,12,7,8,29,1
90,1,12,7,13,28,1
90,1,12,7,16,21,1
90,1,12,7,17,34,1
90,1,12,8,9,32,1
90,1,12,8,10,17,1
90,1,12,8,15,32,1
90,1,12,10,11,13,1
90,1,12,10,12,30,1
90,1,12,11,15,27,1
90,1,12,11,18,26,1
91,1,11,5,16,26,1
91,1,11,6,12,26,1
91,1,11,7,13,28,1
91,1,11,7,16,21,1
91,1,11,7,17,34,1
91,1,11,8,9,32,1
91,1,11,8,15,32,1
91,1,11,9,10,15,1
91,1,11,11,18,26,1
91,1,11,12,12,15,1
91,1,11,12,14,26,1
92,0,9,6,6,19,1
92,0,9,6,17,20,1
92,0,9,6,17,26,1
92,0,9,7,11,29,1
92,0,9,8,9,32,2
92,0,9,8,16,26,1
92,0,9,11,17,19,1
92,0,9,11,18,26,1
92,0,9,13,16,32,1
94,1,11,5,16,26,1
94,1,11,6,6,19,1
94,1,11,6,17,20,1
94,1,11,7,8,29,1
94,1,11,7,13,28,1
94,1,11,7,16,21,1
94,1,11,8,9,32,2
94,1,11,10,12,30,1
94,1,11,11,17,19,1
94,1,11,11,18,26,1
94,1,11,12,14,26,1
95,1,8,5,16,26,1
95,1,8,7,13,28,1
95,1,8,7,16,21,1
95,1,8,7,17,34,1
95,1,8,8,9,32,1
95,1,8,8,15,32,1
95,1,8,11,18,26,1
95,1,8,12,14,26,1
96,1,14,5,16,26,1
96,1,14,6,6,19,1
96,1,14,6,12,26,1
96,1,14,6,17,20,1
96,1,14,6,17,26,1
96,1,14,7,11,29,1
96,1,14,7,13,28,1
96,1,14,7,16,21,1
96,1,14,8,9,32,1
96,1,14,8,16,26,1
96,1,14,9,10,15,1
96,1,14,11,17,19,1
96,1,14,12,12,15,1
96,1,14,13,16,32,1
97,1,12,5,16,26,1
97,1,12,6,7,25,1
97,1,12,7,8,29,1
97,1,12,7,13,28,1
97,1,12,7,16,21,1
97,1,12,7,17,34,1
97,1,12,8,9,32,1
97,1,12,8,15,32,1
97,1,12,10,12,30,1
97,1,12,11,18,26,1
97,1,12,12,14,15,1
97,1,12,12,14,26,1
98,1,13,6,6,19,1
98,1,13,6,7,25,1
98,1,13,6,12,26,1
98,1,13,6,17,20,1
98,1,13,6,17,26,1
98,1,13,7,11,29,1
98,1,13,8,9,32,1
98,1,13,8,16,26,1
98,1,13,9,10,15,1
98,1,13,11,17,19,1
98,1,13,12,12,15,1
98,1,13,12,14,15,1
98,1,13,13,16,32,1
101,1,13,5,16,26,1
101,1,13,6,12,26,1
101,1,13,7,8,29,1
101,1,13,7,13,28,1
101,1,13,7,16,21,1
101,1,13,7,17,34,1
101,1,13,8,9,32,1
101,1,13,8,15,32,1
101,1,13,9,10,15,1
101,1,13,10,12,30,1
101,1,13,11,18,26,1
101,1,13,12,12,15,1
101,1,13,12,14,26,1
102,1,8,6,6,19,1
102,1,8,6,12,26,1
102,1,8,6,17,20,1
102,1,8,8,9,32,1
102,1,8,9,10,15,1
102,1,8,11,17,19,1
102,1,8,12,12,15,1
102,1,8,13,16,32,1
104,1,11,5,16,26,1
104,1,11,6,6,19,1
104,1,11,6,17,20,1
104,1,11,6,17,26,1
104,1,11,7,11,29,1
104,1,11,7,13,28,1
104,1,11,7,16,21,1
104,1,11,8,9,32,1
104,1,11,8,16,26,1
104,1,11,11,17,19,1
104,1,11,13,16,32,1
105,1,11,5,16,26,1
105,1,11,6,17,26,1
105,1,11,7,8,29,1
105,1,11,7,11,29,1
105,1,11,7,13,28,1
105,1,11,7,16,21,1
105,1,11,7,17,34,1
105,1,11,8,15,32,1
105,1,11,8,16,26,1
105,1,11,10,12,30,1
105,1,11,12,14,26,1
106,1,10,5,16,26,1
106,1,10,6,17,20,1
106,1,10,7,8,29,1
106,1,10,7,13,28,1
106,1,10,7,16,21,1
106,1,10,7,17,34,1
106,1,10,8,9,32,1
106,1,10,8,15,32,1
106,1,10,10,12,30,1
106,1,10,12,14,26,1
108,1,9,6,7,25,1
108,1,9,7,15,33,1
108,1,9,7,17,34,1
108,1,9,8,10,17,1
108,1,9,9,12,32,1
108,1,9,10,11,13,1
108,1,9,10,12,27,1
108,1,9,11,15,27,1
108,1,9,12,14,15,1
111,1,9,6,6,19,1
111,1,9,6,12,26,1
111,1,9,6,17,20,1
111,1,9,8,9,32,1
111,1,9,9,10,15,1
111,1,9,11,17,19,1
111,1,9,12,12,15,1
111,1,9,12,14,26,1
111,1,9,13,16,32,1
112,1,10,6,12,26,1
112,1,10,6,17,20,1
112,1,10,6,17,26,1
112,1,10,7,11,29,1
112,1,10,7,17,34,1
112,1,10,8,9,32,1
112,1,10,8,16,26,1
112,1,10,9,10,15,1
112,1,10,12,12,15,1
112,1,10,13,16,32,1
113,1,9,6,12,26,1
113,1,9,6,17,26,1
113,1,9,7,11,29,1
113,1,9,8,10,17,1
113,1,9,8,16,26,1
113,1,9,9,10,15,1
113,1,9,10,11,13,1
113,1,9,11,15,27,1
113,1,9,12,12,15,1
114,1,7,7,8,29,1
114,1,7,7,17,34,1
114,1,7,8,9,32,1
114,1,7,8,15,32,1
114,1,7,10,12,30,1
114,1,7,11,18,26,1
114,1,7,12,14,26,1
115,1,1,8,15,32,1
116,1,9,5,16,26,1
116,1,9,7,8,29,1
116,1,9,7,13,28,1
116,1,9,7,16,21,1
116,1,9,7,17,34,1
116,1,9,8,9,32,1
116,1,9,10,12,30,1
116,1,9,11,18,26,1
116,1,9,12,14,26,1
119,1,14,6,7,25,1
119,1,14,6,17,26,1
119,1,14,7,11,29,1
119,1,14,7,15,33,1
119,1,14,8,10,17,1
119,1,14,8,14,26,1
119,1,14,8,16,26,1
119,1,14,9,12,32,1
119,1,14,9,14,14,1
119,1,14,10,11,13,1
119,1,14,10,12,27,1
119,1,14,11,15,27,1
119,1,14,12,14,15,1
119,1,14,13,17,17,1
120,1,10,5,16,26,1
120,1,10,7,8,29,1
120,1,10,7,13,28,1
120,1,10,7,16,21,1
120,1,10,7,17,34,1
120,1,10,8,9,32,1
120,1,10,8,15,32,1
120,1,10,10,12,30,1
120,1,10,11,18,26,1
120,1,10,12,14,26,1
121,1,11,5,16,26,1
121,1,11,7,13,28,1
