instance_name,order_id,p,q,r
BSP_100_O6_0.xml,67,60.0,15.0,15.0
BSP_100_O6_0.xml,68,16.0,14.0,5.0
BSP_100_O6_0.xml,69,85.0,50.0,10.0
BSP_100_O6_0.xml,70,20.0,15.0,15.0
BSP_100_O6_0.xml,70,20.0,20.0,10.0
BSP_100_O6_0.xml,71,36.0,30.0,14.0
BSP_100_O6_0.xml,72,36.0,26.0,6.0
BSP_100_O6_0.xml,72,20.0,20.0,16.0
BSP_100_O6_0.xml,73,38.0,15.0,15.0
BSP_100_O6_0.xml,74,105.0,70.0,3.0
BSP_100_O6_0.xml,74,65.0,45.0,3.0
BSP_100_O6_0.xml,75,91.0,78.0,18.0
BSP_100_O6_0.xml,76,55.0,48.0,17.0
BSP_100_O6_0.xml,76,28.0,20.0,16.0
BSP_100_O6_0.xml,77,36.0,26.0,12.0
BSP_100_O6_0.xml,78,42.0,39.0,12.0
BSP_100_O6_0.xml,78,42.0,39.0,12.0
BSP_100_O6_0.xml,79,41.0,39.0,38.0
BSP_100_O6_0.xml,80,17.0,11.0,11.0
BSP_100_O6_0.xml,80,17.0,11.0,11.0
BSP_100_O6_0.xml,81,28.0,12.0,12.0
BSP_100_O6_0.xml,82,105.0,47.0,42.0
BSP_100_O6_0.xml,83,28.0,14.0,14.0
BSP_100_O6_0.xml,84,53.0,26.0,24.0
BSP_100_O6_0.xml,85,60.0,30.0,20.0
BSP_100_O6_0.xml,85,60.0,15.0,2.0
BSP_100_O6_0.xml,86,36.0,33.0,27.0
BSP_100_O6_0.xml,87,60.0,29.0,20.0
BSP_100_O6_0.xml,87,21.0,15.0,7.0
BSP_100_O6_0.xml,88,32.0,30.0,20.0
BSP_100_O6_0.xml,89,26.0,20.0,15.0
BSP_100_O6_0.xml,89,26.0,20.0,15.0
BSP_100_O6_0.xml,89,18.0,18.0,18.0
BSP_100_O6_0.xml,90,52.0,22.0,21.0
BSP_100_O6_0.xml,91,24.0,19.0,12.0
BSP_100_O6_0.xml,91,24.0,19.0,12.0
BSP_100_O6_0.xml,91,24.0,19.0,12.0
BSP_100_O6_0.xml,92,28.0,20.0,16.0
BSP_100_O6_0.xml,92,16.0,16.0,10.0
BSP_100_O6_0.xml,92,20.0,20.0,12.0
BSP_100_O6_0.xml,93,30.0,21.0,20.0
BSP_100_O6_0.xml,93,30.0,21.0,20.0
BSP_100_O6_0.xml,93,30.0,21.0,20.0
BSP_100_O6_0.xml,94,18.0,13.0,12.0
BSP_100_O6_0.xml,94,18.0,13.0,12.0
BSP_100_O6_0.xml,94,18.0,13.0,12.0
BSP_100_O6_0.xml,94,18.0,13.0,12.0
BSP_100_O6_0.xml,95,40.0,20.0,20.0
BSP_100_O6_0.xml,95,40.0,20.0,20.0
BSP_100_O6_0.xml,95,40.0,20.0,20.0
BSP_100_O6_0.xml,96,60.0,25.0,25.0
BSP_100_O6_0.xml,96,60.0,25.0,25.0
BSP_100_O6_0.xml,96,60.0,25.0,25.0
BSP_100_O6_0.xml,96,60.0,25.0,25.0
BSP_100_O6_0.xml,97,30.0,30.0,22.0
BSP_100_O6_0.xml,97,69.0,11.0,11.0
BSP_100_O6_0.xml,97,30.0,30.0,22.0
BSP_100_O6_0.xml,97,30.0,30.0,22.0
BSP_100_O6_0.xml,98,17.0,13.0,10.0
BSP_100_O6_0.xml,98,17.0,13.0,10.0
BSP_100_O6_0.xml,98,17.0,13.0,10.0
BSP_100_O6_0.xml,98,17.0,13.0,10.0
BSP_100_O6_0.xml,98,17.0,13.0,10.0
BSP_100_O6_0.xml,99,22.0,15.0,5.0
BSP_100_O6_0.xml,99,22.0,15.0,5.0
BSP_100_O6_0.xml,99,22.0,15.0,5.0
BSP_100_O6_0.xml,99,22.0,15.0,5.0
BSP_100_O6_0.xml,99,22.0,15.0,5.0
BSP_100_O6_0_2_4.xml,0,55.0,55.0,30.0
BSP_100_O6_0_2_4.xml,0,55.0,55.0,30.0
BSP_100_O6_0_2_4.xml,0,20.0,16.0,16.0
BSP_100_O6_0_2_4.xml,1,37.0,30.0,12.0
BSP_100_O6_0_2_4.xml,2,44.0,29.0,16.0
BSP_100_O6_0_2_4.xml,3,47.0,30.0,30.0
BSP_100_O6_0_2_4.xml,4,82.0,39.0,8.0
BSP_100_O6_0_2_4.xml,5,36.0,26.0,7.0
BSP_100_O6_0_2_4.xml,6,25.0,18.0,8.0
BSP_100_O6_0_2_4.xml,6,25.0,18.0,8.0
BSP_100_O6_0_2_4.xml,7,25.0,18.0,15.0
BSP_100_O6_0_2_4.xml,7,41.0,31.0,13.0
BSP_100_O6_0_2_4.xml,8,70.0,11.0,11.0
BSP_100_O6_0_2_4.xml,8,20.0,20.0,10.0
BSP_100_O6_0_2_4.xml,9,99.0,65.0,3.0
BSP_100_O6_0_2_4.xml,9,99.0,65.0,3.0
BSP_100_O6_0_2_4.xml,10,36.0,13.0,10.0
BSP_100_O6_0_2_4.xml,11,39.0,28.0,25.0
BSP_100_O6_0_2_4.xml,12,45.0,40.0,33.0
BSP_100_O6_0_2_4.xml,13,42.0,20.0,15.0
BSP_100_O6_0_2_4.xml,14,24.0,19.0,16.0
BSP_100_O6_0_2_4.xml,15,31.0,25.0,8.0
BSP_100_O6_0_2_4.xml,16,39.0,12.0,12.0
BSP_100_O6_0_2_4.xml,17,32.0,14.0,12.0
BSP_100_O6_0_2_4.xml,18,78.0,30.0,16.0
BSP_100_O6_0_2_4.xml,19,43.0,43.0,27.0
BSP_100_O6_0_2_4.xml,20,100.0,45.0,20.0
BSP_100_O6_0_2_4.xml,21,33.0,32.0,10.0
BSP_100_O6_0_2_4.xml,21,33.0,32.0,10.0
BSP_100_O6_0_2_4.xml,22,30.0,25.0,7.0
BSP_100_O6_0_2_4.xml,23,42.0,42.0,22.0
BSP_100_O6_0_2_4.xml,23,42.0,42.0,22.0
BSP_100_O6_0_2_4.xml,24,20.0,16.0,12.0
BSP_100_O6_0_2_4.xml,24,20.0,16.0,12.0
BSP_100_O6_0_2_4.xml,25,30.0,30.0,6.0
BSP_100_O6_0_2_4.xml,25,33.0,28.0,22.0
BSP_100_O6_0_2_4.xml,26,30.0,27.0,16.0
BSP_100_O6_0_2_4.xml,27,87.0,46.0,28.0
BSP_100_O6_0_2_4.xml,28,41.0,36.0,8.0
BSP_100_O6_0_2_4.xml,28,46.0,38.0,13.0
BSP_100_O6_0_2_4.xml,29,16.0,11.0,5.0
BSP_100_O6_0_2_4.xml,29,16.0,13.0,11.0
BSP_100_O6_0_2_4.xml,30,40.0,30.0,10.0
BSP_100_O6_0_2_4.xml,30,40.0,30.0,10.0
BSP_100_O6_0_2_4.xml,31,43.0,32.0,22.0
BSP_100_O6_0_2_4.xml,32,31.0,30.0,20.0
BSP_100_O6_0_2_4.xml,33,74.0,52.0,13.0
BSP_100_O6_0_2_4.xml,34,21.0,16.0,12.0
BSP_100_O6_0_2_4.xml,34,21.0,16.0,12.0
BSP_100_O6_0_2_4.xml,35,30.0,30.0,5.0
BSP_100_O6_0_2_4.xml,35,43.0,31.0,20.0
BSP_100_O6_0_2_4.xml,36,62.0,47.0,32.0
BSP_100_O6_0_2_4.xml,37,19.0,12.0,10.0
BSP_100_O6_0_2_4.xml,38,40.0,28.0,28.0
BSP_100_O6_0_2_4.xml,39,54.0,15.0,7.0
BSP_100_O6_0_2_4.xml,40,44.0,32.0,24.0
BSP_100_O6_0_2_4.xml,41,35.0,35.0,35.0
BSP_100_O6_0_2_4.xml,41,30.0,30.0,30.0
BSP_100_O6_0_2_4.xml,42,22.0,22.0,22.0
BSP_100_O6_0_2_4.xml,42,22.0,22.0,22.0
BSP_100_O6_0_2_4.xml,43,50.0,45.0,40.0
BSP_100_O6_0_2_4.xml,44,48.0,34.0,16.0
BSP_100_O6_0_2_4.xml,45,47.0,28.0,27.0
BSP_100_O6_0_2_4.xml,46,25.0,20.0,12.0
BSP_100_O6_0_2_4.xml,46,18.0,18.0,16.0
BSP_100_O6_0_2_4.xml,47,17.0,16.0,6.0
BSP_100_O6_0_2_4.xml,48,30.0,16.0,7.0
BSP_100_O6_0_2_4.xml,48,30.0,16.0,7.0
BSP_100_O6_0_2_4.xml,49,36.0,28.0,10.0
BSP_100_O6_0_2_4.xml,50,80.0,18.0,15.0
BSP_100_O6_0_2_4.xml,51,16.0,16.0,12.0
BSP_100_O6_0_2_4.xml,51,22.0,22.0,12.0
BSP_100_O6_0_2_4.xml,52,53.0,35.0,16.0
BSP_100_O6_0_2_4.xml,53,33.0,20.0,20.0
BSP_100_O6_0_2_4.xml,54,30.0,30.0,22.0
BSP_100_O6_0_2_4.xml,54,20.0,17.0,7.0
BSP_100_O6_0_2_4.xml,55,85.0,23.0,15.0
BSP_100_O6_0_2_4.xml,56,28.0,18.0,2.0
BSP_100_O6_0_2_4.xml,57,43.0,30.0,5.0
BSP_100_O6_0_2_4.xml,58,90.0,60.0,30.0
BSP_100_O6_0_2_4.xml,59,28.0,17.0,17.0
BSP_100_O6_0_2_4.xml,60,25.0,20.0,5.0
BSP_100_O6_0_2_4.xml,60,25.0,20.0,5.0
BSP_100_O6_0_2_4.xml,61,51.0,51.0,13.0
BSP_100_O6_0_2_4.xml,62,20.0,14.0,6.0
BSP_100_O6_0_2_4.xml,62,20.0,14.0,6.0
BSP_100_O6_0_2_4.xml,63,28.0,18.0,17.0
BSP_100_O6_0_2_4.xml,64,18.0,12.0,3.0
BSP_100_O6_0_2_4.xml,64,19.0,11.0,5.0
BSP_100_O6_0_2_4.xml,65,60.0,60.0,32.0
BSP_100_O6_0_2_4.xml,66,30.0,23.0,15.0
BSP_100_O6_0_2_4.xml,67,60.0,15.0,15.0
BSP_100_O6_0_2_4.xml,67,60.0,15.0,15.0
BSP_100_O6_0_2_4.xml,68,16.0,14.0,5.0
BSP_100_O6_0_2_4.xml,69,85.0,50.0,10.0
BSP_100_O6_0_2_4.xml,70,20.0,15.0,15.0
BSP_100_O6_0_2_4.xml,70,20.0,20.0,10.0
BSP_100_O6_0_2_4.xml,71,36.0,30.0,14.0
BSP_100_O6_0_2_4.xml,72,36.0,26.0,6.0
BSP_100_O6_0_2_4.xml,72,20.0,20.0,16.0
BSP_100_O6_0_2_4.xml,73,38.0,15.0,15.0
BSP_100_O6_0_2_4.xml,74,105.0,70.0,3.0
BSP_100_O6_0_2_4.xml,74,65.0,45.0,3.0
BSP_100_O6_0_2_4.xml,75,91.0,78.0,18.0
BSP_100_O6_0_2_4.xml,76,55.0,48.0,17.0
BSP_100_O6_0_2_4.xml,76,28.0,20.0,16.0
BSP_100_O6_0_2_4.xml,77,36.0,26.0,12.0
BSP_100_O6_0_2_4.xml,78,42.0,39.0,12.0
BSP_100_O6_0_2_4.xml,78,42.0,39.0,12.0
BSP_100_O6_0_2_4.xml,79,41.0,39.0,38.0
BSP_100_O6_0_2_4.xml,80,17.0,11.0,11.0
BSP_100_O6_0_2_4.xml,80,17.0,11.0,11.0
BSP_100_O6_0_2_4.xml,81,28.0,12.0,12.0
BSP_100_O6_0_2_4.xml,82,105.0,47.0,42.0
BSP_100_O6_0_2_4.xml,83,28.0,14.0,14.0
BSP_100_O6_0_2_4.xml,84,53.0,26.0,24.0
BSP_100_O6_0_2_4.xml,85,60.0,30.0,20.0
BSP_100_O6_0_2_4.xml,85,60.0,15.0,2.0
BSP_100_O6_0_2_4.xml,86,36.0,33.0,27.0
BSP_100_O6_0_2_4.xml,87,60.0,29.0,20.0
BSP_100_O6_0_2_4.xml,87,21.0,15.0,7.0
BSP_100_O6_0_2_4.xml,88,32.0,30.0,20.0
BSP_100_O6_0_2_4.xml,89,26.0,20.0,15.0
BSP_100_O6_0_2_4.xml,89,26.0,20.0,15.0
BSP_100_O6_0_2_4.xml,89,18.0,18.0,18.0
BSP_100_O6_0_2_4.xml,90,52.0,22.0,21.0
BSP_100_O6_0_2_4.xml,91,24.0,19.0,12.0
BSP_100_O6_0_2_4.xml,91,24.0,19.0,12.0
BSP_100_O6_0_2_4.xml,91,24.0,19.0,12.0
BSP_100_O6_0_2_4.xml,92,28.0,20.0,16.0
BSP_100_O6_0_2_4.xml,92,16.0,16.0,10.0
BSP_100_O6_0_2_4.xml,92,20.0,20.0,12.0
BSP_100_O6_0_2_4.xml,93,30.0,21.0,20.0
BSP_100_O6_0_2_4.xml,93,30.0,21.0,20.0
BSP_100_O6_0_2_4.xml,93,30.0,21.0,20.0
BSP_100_O6_0_2_4.xml,94,18.0,13.0,12.0
BSP_100_O6_0_2_4.xml,94,18.0,13.0,12.0
BSP_100_O6_0_2_4.xml,94,18.0,13.0,12.0
BSP_100_O6_0_2_4.xml,94,18.0,13.0,12.0
BSP_100_O6_0_2_4.xml,95,40.0,20.0,20.0
BSP_100_O6_0_2_4.xml,95,40.0,20.0,20.0
BSP_100_O6_0_2_4.xml,95,40.0,20.0,20.0
BSP_100_O6_0_2_4.xml,96,60.0,25.0,25.0
BSP_100_O6_0_2_4.xml,96,60.0,25.0,25.0
BSP_100_O6_0_2_4.xml,96,60.0,25.0,25.0
BSP_100_O6_0_2_4.xml,96,60.0,25.0,25.0
BSP_100_O6_0_2_4.xml,97,30.0,30.0,22.0
BSP_100_O6_0_2_4.xml,97,69.0,11.0,11.0
BSP_100_O6_0_2_4.xml,97,30.0,30.0,22.0
BSP_100_O6_0_2_4.xml,97,30.0,30.0,22.0
BSP_100_O6_0_2_4.xml,98,17.0,13.0,10.0
BSP_100_O6_0_2_4.xml,98,17.0,13.0,10.0
BSP_100_O6_0_2_4.xml,98,17.0,13.0,10.0
BSP_100_O6_0_2_4.xml,98,17.0,13.0,10.0
BSP_100_O6_0_2_4.xml,98,17.0,13.0,10.0
BSP_100_O6_0_2_4.xml,99,22.0,15.0,5.0
BSP_100_O6_0_2_4.xml,99,22.0,15.0,5.0
BSP_100_O6_0_2_4.xml,99,22.0,15.0,5.0
BSP_100_O6_0_2_4.xml,99,22.0,15.0,5.0
BSP_100_O6_0_2_4.xml,99,22.0,15.0,5.0
BSP_100_O6_0_2_5.xml,0,55.0,55.0,30.0
BSP_100_O6_0_2_5.xml,0,55.0,55.0,30.0
BSP_100_O6_0_2_5.xml,0,20.0,16.0,16.0
BSP_100_O6_0_2_5.xml,1,37.0,30.0,12.0
BSP_100_O6_0_2_5.xml,2,44.0,29.0,16.0
BSP_100_O6_0_2_5.xml,3,47.0,30.0,30.0
BSP_100_O6_0_2_5.xml,4,82.0,39.0,8.0
BSP_100_O6_0_2_5.xml,5,36.0,26.0,7.0
BSP_100_O6_0_2_5.xml,6,25.0,18.0,8.0
BSP_100_O6_0_2_5.xml,6,25.0,18.0,8.0
BSP_100_O6_0_2_5.xml,7,25.0,18.0,15.0
BSP_100_O6_0_2_5.xml,7,41.0,31.0,13.0
BSP_100_O6_0_2_5.xml,8,70.0,11.0,11.0
BSP_100_O6_0_2_5.xml,8,20.0,20.0,10.0
BSP_100_O6_0_2_5.xml,9,99.0,65.0,3.0
BSP_100_O6_0_2_5.xml,9,99.0,65.0,3.0
BSP_100_O6_0_2_5.xml,10,36.0,13.0,10.0
BSP_100_O6_0_2_5.xml,11,39.0,28.0,25.0
BSP_100_O6_0_2_5.xml,12,45.0,40.0,33.0
BSP_100_O6_0_2_5.xml,13,42.0,20.0,15.0
BSP_100_O6_0_2_5.xml,14,24.0,19.0,16.0
BSP_100_O6_0_2_5.xml,15,31.0,25.0,8.0
BSP_100_O6_0_2_5.xml,16,39.0,12.0,12.0
BSP_100_O6_0_2_5.xml,17,32.0,14.0,12.0
BSP_100_O6_0_2_5.xml,18,78.0,30.0,16.0
BSP_100_O6_0_2_5.xml,19,43.0,43.0,27.0
BSP_100_O6_0_2_5.xml,20,100.0,45.0,20.0
BSP_100_O6_0_2_5.xml,21,33.0,32.0,10.0
BSP_100_O6_0_2_5.xml,21,33.0,32.0,10.0
BSP_100_O6_0_2_5.xml,22,30.0,25.0,7.0
BSP_100_O6_0_2_5.xml,23,42.0,42.0,22.0
BSP_100_O6_0_2_5.xml,23,42.0,42.0,22.0
BSP_100_O6_0_2_5.xml,24,20.0,16.0,12.0
BSP_100_O6_0_2_5.xml,24,20.0,16.0,12.0
BSP_100_O6_0_2_5.xml,25,30.0,30.0,6.0
BSP_100_O6_0_2_5.xml,25,33.0,28.0,22.0
BSP_100_O6_0_2_5.xml,26,30.0,27.0,16.0
BSP_100_O6_0_2_5.xml,27,87.0,46.0,28.0
BSP_100_O6_0_2_5.xml,28,41.0,36.0,8.0
BSP_100_O6_0_2_5.xml,28,46.0,38.0,13.0
BSP_100_O6_0_2_5.xml,29,16.0,11.0,5.0
BSP_100_O6_0_2_5.xml,29,16.0,13.0,11.0
BSP_100_O6_0_2_5.xml,30,40.0,30.0,10.0
BSP_100_O6_0_2_5.xml,30,40.0,30.0,10.0
BSP_100_O6_0_2_5.xml,31,43.0,32.0,22.0
BSP_100_O6_0_2_5.xml,32,31.0,30.0,20.0
BSP_100_O6_0_2_5.xml,33,74.0,52.0,13.0
BSP_100_O6_0_2_5.xml,34,21.0,16.0,12.0
BSP_100_O6_0_2_5.xml,34,21.0,16.0,12.0
BSP_100_O6_0_2_5.xml,35,30.0,30.0,5.0
BSP_100_O6_0_2_5.xml,35,43.0,31.0,20.0
BSP_100_O6_0_2_5.xml,36,62.0,47.0,32.0
BSP_100_O6_0_2_5.xml,37,19.0,12.0,10.0
BSP_100_O6_0_2_5.xml,38,40.0,28.0,28.0
BSP_100_O6_0_2_5.xml,39,54.0,15.0,7.0
BSP_100_O6_0_2_5.xml,40,44.0,32.0,24.0
BSP_100_O6_0_2_5.xml,41,35.0,35.0,35.0
BSP_100_O6_0_2_5.xml,41,30.0,30.0,30.0
BSP_100_O6_0_2_5.xml,42,22.0,22.0,22.0
BSP_100_O6_0_2_5.xml,42,22.0,22.0,22.0
BSP_100_O6_0_2_5.xml,43,50.0,45.0,40.0
BSP_100_O6_0_2_5.xml,44,48.0,34.0,16.0
BSP_100_O6_0_2_5.xml,45,47.0,28.0,27.0
BSP_100_O6_0_2_5.xml,46,25.0,20.0,12.0
BSP_100_O6_0_2_5.xml,46,18.0,18.0,16.0
BSP_100_O6_0_2_5.xml,47,17.0,16.0,6.0
BSP_100_O6_0_2_5.xml,48,30.0,16.0,7.0
BSP_100_O6_0_2_5.xml,48,30.0,16.0,7.0
BSP_100_O6_0_2_5.xml,49,36.0,28.0,10.0
BSP_100_O6_0_2_5.xml,50,80.0,18.0,15.0
BSP_100_O6_0_2_5.xml,51,16.0,16.0,12.0
BSP_100_O6_0_2_5.xml,51,22.0,22.0,12.0
BSP_100_O6_0_2_5.xml,52,53.0,35.0,16.0
BSP_100_O6_0_2_5.xml,53,33.0,20.0,20.0
BSP_100_O6_0_2_5.xml,54,30.0,30.0,22.0
BSP_100_O6_0_2_5.xml,54,20.0,17.0,7.0
BSP_100_O6_0_2_5.xml,55,85.0,23.0,15.0
BSP_100_O6_0_2_5.xml,56,28.0,18.0,2.0
BSP_100_O6_0_2_5.xml,57,43.0,30.0,5.0
BSP_100_O6_0_2_5.xml,58,90.0,60.0,30.0
BSP_100_O6_0_2_5.xml,59,28.0,17.0,17.0
BSP_100_O6_0_2_5.xml,60,25.0,20.0,5.0
BSP_100_O6_0_2_5.xml,60,25.0,20.0,5.0
BSP_100_O6_0_2_5.xml,61,51.0,51.0,13.0
BSP_100_O6_0_2_5.xml,62,20.0,14.0,6.0
BSP_100_O6_0_2_5.xml,62,20.0,14.0,6.0
BSP_100_O6_0_2_5.xml,63,28.0,18.0,17.0
BSP_100_O6_0_2_5.xml,64,18.0,12.0,3.0
BSP_100_O6_0_2_5.xml,64,19.0,11.0,5.0
BSP_100_O6_0_2_5.xml,65,60.0,60.0,32.0
BSP_100_O6_0_2_5.xml,66,30.0,23.0,15.0
BSP_100_O6_0_2_5.xml,67,60.0,15.0,15.0
BSP_100_O6_0_2_5.xml,67,60.0,15.0,15.0
BSP_100_O6_0_2_5.xml,68,16.0,14.0,5.0
BSP_100_O6_0_2_5.xml,69,85.0,50.0,10.0
BSP_100_O6_0_2_5.xml,70,20.0,15.0,15.0
BSP_100_O6_0_2_5.xml,70,20.0,20.0,10.0
BSP_100_O6_0_2_5.xml,71,36.0,30.0,14.0
BSP_100_O6_0_2_5.xml,72,36.0,26.0,6.0
BSP_100_O6_0_2_5.xml,72,20.0,20.0,16.0
BSP_100_O6_0_2_5.xml,73,38.0,15.0,15.0
BSP_100_O6_0_2_5.xml,74,105.0,70.0,3.0
BSP_100_O6_0_2_5.xml,74,65.0,45.0,3.0
BSP_100_O6_0_2_5.xml,75,91.0,78.0,18.0
BSP_100_O6_0_2_5.xml,76,55.0,48.0,17.0
BSP_100_O6_0_2_5.xml,76,28.0,20.0,16.0
BSP_100_O6_0_2_5.xml,77,36.0,26.0,12.0
BSP_100_O6_0_2_5.xml,78,42.0,39.0,12.0
BSP_100_O6_0_2_5.xml,78,42.0,39.0,12.0
BSP_100_O6_0_2_5.xml,79,41.0,39.0,38.0
BSP_100_O6_0_2_5.xml,80,17.0,11.0,11.0
BSP_100_O6_0_2_5.xml,80,17.0,11.0,11.0
BSP_100_O6_0_2_5.xml,81,28.0,12.0,12.0
BSP_100_O6_0_2_5.xml,82,105.0,47.0,42.0
BSP_100_O6_0_2_5.xml,83,28.0,14.0,14.0
BSP_100_O6_0_2_5.xml,84,53.0,26.0,24.0
BSP_100_O6_0_2_5.xml,85,60.0,30.0,20.0
BSP_100_O6_0_2_5.xml,85,60.0,15.0,2.0
BSP_100_O6_0_2_5.xml,86,36.0,33.0,27.0
BSP_100_O6_0_2_5.xml,87,60.0,29.0,20.0
BSP_100_O6_0_2_5.xml,87,21.0,15.0,7.0
BSP_100_O6_0_2_5.xml,88,32.0,30.0,20.0
BSP_100_O6_0_2_5.xml,89,26.0,20.0,15.0
BSP_100_O6_0_2_5.xml,89,26.0,20.0,15.0
BSP_100_O6_0_2_5.xml,89,18.0,18.0,18.0
BSP_100_O6_0_2_5.xml,90,52.0,22.0,21.0
BSP_100_O6_0_2_5.xml,91,24.0,19.0,12.0
BSP_100_O6_0_2_5.xml,91,24.0,19.0,12.0
BSP_100_O6_0_2_5.xml,91,24.0,19.0,12.0
BSP_100_O6_0_2_5.xml,92,28.0,20.0,16.0
BSP_100_O6_0_2_5.xml,92,16.0,16.0,10.0
BSP_100_O6_0_2_5.xml,92,20.0,20.0,12.0
BSP_100_O6_0_2_5.xml,93,30.0,21.0,20.0
BSP_100_O6_0_2_5.xml,93,30.0,21.0,20.0
BSP_100_O6_0_2_5.xml,93,30.0,21.0,20.0
BSP_100_O6_0_2_5.xml,94,18.0,13.0,12.0
